landmark_0,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62,label
0.638919472694397,0.3487381935119629,-1.13633149112502e-07,0.6402025818824768,0.3291260898113251,-0.0011921982513740659,0.6449597477912903,0.31392666697502136,-0.0025293538346886635,0.6494778990745544,0.3046947121620178,-0.004567896481603384,0.6541445255279541,0.3021368980407715,-0.005686621181666851,0.6655825972557068,0.3195189833641052,0.003111746860668063,0.6607210636138916,0.3027106821537018,-0.001901468145661056,0.6535232067108154,0.30712106823921204,-0.005453712772578001,0.6525487303733826,0.31346213817596436,-0.007253017742186785,0.6661918759346008,0.3237607777118683,0.001331019913777709,0.6596255898475647,0.3062860667705536,-0.0037904763594269753,0.6523900032043457,0.31106990575790405,-0.005008256994187832,0.652229905128479,0.317470908164978,-0.004729049745947123,0.6651349067687988,0.3273216784000397,-0.0014511472545564175,0.6582217812538147,0.3110547959804535,-0.006110583897680044,0.6517679691314697,0.31576356291770935,-0.00472481781616807,0.651765763759613,0.3221893012523651,-0.0026356971357017756,0.6622747182846069,0.3307915925979614,-0.004641866777092218,0.6569149494171143,0.31755638122558594,-0.0073008243925869465,0.6519669890403748,0.32097095251083374,-0.006102222949266434,0.6514124274253845,0.3270648121833801,-0.004219980910420418,help_2
0.6247211694717407,0.34902217984199524,-1.2471248567180737e-07,0.6225064396858215,0.32984212040901184,-0.0025428906083106995,0.6246300935745239,0.31395524740219116,-0.005101447459310293,0.6275926828384399,0.3038298785686493,-0.008068209514021873,0.6317937970161438,0.30052807927131653,-0.010262860916554928,0.6481152176856995,0.31198447942733765,9.995964501285926e-05,0.6390860080718994,0.29565876722335815,-0.005572008900344372,0.6325729489326477,0.3022821247577667,-0.009648713283240795,0.6323589086532593,0.30878010392189026,-0.011876409873366356,0.6492804884910583,0.3166220188140869,-0.0014069282915443182,0.6369819641113281,0.3013204038143158,-0.006242743227630854,0.631218671798706,0.30958831310272217,-0.007838091813027859,0.6317883729934692,0.3155381381511688,-0.008211604319512844,0.647896945476532,0.32180505990982056,-0.0038090005982667208,0.634815514087677,0.30885985493659973,-0.007794062606990337,0.6295962333679199,0.31689098477363586,-0.006702532060444355,0.6307162642478943,0.32252708077430725,-0.0053502353839576244,0.6443852782249451,0.3275231420993805,-0.0067763258703053,0.6341004967689514,0.31674474477767944,-0.009061954915523529,0.6302437782287598,0.322404146194458,-0.00801002886146307,0.6311293840408325,0.3277324140071869,-0.006460085976868868,help_2
0.6116465330123901,0.35221391916275024,-1.1600858584870366e-07,0.606513261795044,0.33356812596321106,-0.0028986965771764517,0.6063275337219238,0.3169848322868347,-0.00568575831130147,0.6074628829956055,0.3058568835258484,-0.008714113384485245,0.6102555394172668,0.30027061700820923,-0.010937925428152084,0.6302008628845215,0.3074827790260315,-0.0008176405681297183,0.617867648601532,0.2934335470199585,-0.006455031223595142,0.612785279750824,0.30169177055358887,-0.010550248436629772,0.6145064830780029,0.30740973353385925,-0.012929658405482769,0.6318605542182922,0.311757892370224,-0.002284041838720441,0.6162843704223633,0.2994961440563202,-0.006948028691112995,0.6122611165046692,0.30928540229797363,-0.008514875546097755,0.6142516136169434,0.3145137131214142,-0.009006173349916935,0.630670964717865,0.3173096477985382,-0.004574448801577091,0.6147511005401611,0.30743491649627686,-0.00829238723963499,0.6107944846153259,0.3169870376586914,-0.007064578589051962,0.6129016280174255,0.32205986976623535,-0.00579121895134449,0.6272382736206055,0.32389095425605774,-0.007506894413381815,0.6144887804985046,0.31620296835899353,-0.009969031438231468,0.6114694476127625,0.32300466299057007,-0.00910793337970972,0.6131899952888489,0.32779964804649353,-0.007688229437917471,help_2
0.6088196039199829,0.34880873560905457,-9.300103442910768e-08,0.6045361161231995,0.3285047113895416,-0.0022011962719261646,0.6048396229743958,0.31116026639938354,-0.004705827217549086,0.6072008013725281,0.2994489073753357,-0.007712728343904018,0.6115087270736694,0.30120545625686646,-0.009557563811540604,0.6275635361671448,0.30541470646858215,0.0008600676083005965,0.616273045539856,0.292036235332489,-0.005121826659888029,0.61191725730896,0.30193793773651123,-0.008934436365962029,0.6145614385604858,0.30712953209877014,-0.010988864116370678,0.6296320557594299,0.31019824743270874,-0.0009057318093255162,0.6159669160842896,0.29882287979125977,-0.006700383499264717,0.612021267414093,0.3082107901573181,-0.007509836461395025,0.6145808696746826,0.31307148933410645,-0.006952948868274689,0.6292271614074707,0.3156184256076813,-0.003749452531337738,0.6150240898132324,0.30683624744415283,-0.00858747772872448,0.6112877726554871,0.3155110478401184,-0.006582071539014578,0.6136661171913147,0.3205445110797882,-0.004185196477919817,0.6266071796417236,0.3214389383792877,-0.007188889663666487,0.6147194504737854,0.3153395354747772,-0.009769832715392113,0.6119864583015442,0.32225605845451355,-0.008583656512200832,0.6139383316040039,0.3272271752357483,-0.006818556692451239,help_2
0.5968369245529175,0.3490853011608124,-1.0945969108888676e-07,0.5909258723258972,0.33330634236335754,-0.0001900794159155339,0.5887436270713806,0.3185785710811615,-0.0020848962012678385,0.5873008966445923,0.3072913885116577,-0.004762876313179731,0.5859935283660889,0.29783257842063904,-0.007117143366485834,0.6060495972633362,0.30267152190208435,0.0015783183043822646,0.5912535786628723,0.2937251329421997,-0.0033397895749658346,0.5879125595092773,0.3012332618236542,-0.0076667810790240765,0.589178740978241,0.30696818232536316,-0.010132769122719765,0.6071516871452332,0.3039703965187073,-0.0009597432799637318,0.5909788608551025,0.29495662450790405,-0.003927905578166246,0.5890210866928101,0.3042188584804535,-0.005576476454734802,0.5909026265144348,0.3095821738243103,-0.006523799151182175,0.6067399978637695,0.30695345997810364,-0.004029929172247648,0.5904567837715149,0.3004482686519623,-0.005497833713889122,0.5887254476547241,0.30993103981018066,-0.004362012259662151,0.5906234979629517,0.31461888551712036,-0.0037988186813890934,0.6049352884292603,0.3119361698627472,-0.007589395623654127,0.5917978882789612,0.3067457675933838,-0.007938617840409279,0.5899483561515808,0.31373223662376404,-0.0062491269782185555,0.5916195511817932,0.31829407811164856,-0.0047262366861104965,help_2
0.5831804275512695,0.34336718916893005,-1.0633264935222542e-07,0.5748159289360046,0.32673701643943787,-0.00032365269726142287,0.5731587409973145,0.31101006269454956,-0.0012568217935040593,0.5732789039611816,0.3003901541233063,-0.002914874814450741,0.5749192237854004,0.2943168878555298,-0.003988867159932852,0.5913484692573547,0.2969834506511688,0.002743415767326951,0.5792084336280823,0.28637075424194336,-0.0018834228394553065,0.5731196999549866,0.29110702872276306,-0.005095218773931265,0.5712805986404419,0.2959202826023102,-0.006660327780991793,0.5943434834480286,0.29875776171684265,0.0005355687462724745,0.5794637799263,0.2904914617538452,-0.004170762840658426,0.5763598680496216,0.3010033667087555,-0.00551843736320734,0.578113853931427,0.3072907030582428,-0.005293252877891064,0.595260739326477,0.3025898337364197,-0.002386671956628561,0.579334020614624,0.2986848056316376,-0.006124067585915327,0.5774222016334534,0.3095155358314514,-0.004887387156486511,0.5802068114280701,0.3142474591732025,-0.003211292438209057,0.5943384766578674,0.3082754909992218,-0.005652921739965677,0.581109344959259,0.3063514530658722,-0.007977024652063847,0.5795859098434448,0.314499169588089,-0.00690575921908021,0.5820768475532532,0.3184151351451874,-0.005262031219899654,help_2
0.5679001212120056,0.35157620906829834,-1.2327056708727469e-07,0.5591117143630981,0.33390694856643677,-0.0018977996660396457,0.5571919679641724,0.3180842697620392,-0.004134610295295715,0.5562501549720764,0.30728980898857117,-0.007020351942628622,0.5573624968528748,0.3025378882884979,-0.009105298668146133,0.5787525177001953,0.30468419194221497,0.0018689462449401617,0.5641854405403137,0.29420992732048035,-0.004322750493884087,0.560542106628418,0.3041636347770691,-0.008669029921293259,0.5627423524856567,0.31113484501838684,-0.010778875090181828,0.5808658003807068,0.30818191170692444,2.964379746117629e-05,0.563922107219696,0.29972031712532043,-0.005681569688022137,0.5612348318099976,0.3101098835468292,-0.00750420056283474,0.5642645955085754,0.31544700264930725,-0.0077430736273527145,0.5807897448539734,0.3133329749107361,-0.0028450260870158672,0.5641939640045166,0.30649134516716003,-0.007891912944614887,0.5617674589157104,0.3165133595466614,-0.0068442802876234055,0.5649856328964233,0.32136601209640503,-0.005125897936522961,0.5787628889083862,0.31974154710769653,-0.006195446010679007,0.5656869411468506,0.3147825002670288,-0.00911489874124527,0.5633362531661987,0.3224557340145111,-0.00815687607973814,0.5660058259963989,0.32723164558410645,-0.006510421633720398,help_2
0.5594739317893982,0.3560420274734497,-1.1345690609232406e-07,0.5491701364517212,0.34031879901885986,-0.002016067039221525,0.5433218479156494,0.3256245255470276,-0.003960617817938328,0.5426856875419617,0.31433045864105225,-0.006527745630592108,0.5464547276496887,0.3081458508968353,-0.00817301869392395,0.5591006278991699,0.3070552945137024,0.0027513836976140738,0.5480350852012634,0.30120769143104553,-0.002640432445332408,0.5455365180969238,0.3118276596069336,-0.0064918361604213715,0.5478140115737915,0.31754183769226074,-0.00854657031595707,0.5636767148971558,0.30910056829452515,0.00114785588812083,0.5505978465080261,0.30643028020858765,-0.00409420533105731,0.5487903356552124,0.3182896077632904,-0.0054918075911700726,0.5521368384361267,0.32241591811180115,-0.005373974330723286,0.567045271396637,0.3133649528026581,-0.0015820496482774615,0.5539870262145996,0.31305980682373047,-0.006385907530784607,0.5522103309631348,0.3239666223526001,-0.004937288351356983,0.5554669499397278,0.32756075263023376,-0.0028396393172442913,0.5694363117218018,0.31971657276153564,-0.00481756217777729,0.5581537485122681,0.3183292746543884,-0.0070638349279761314,0.5563721060752869,0.3263521194458008,-0.005472701974213123,0.5590406656265259,0.32988208532333374,-0.0033948759082704782,help_2
0.5724577307701111,0.3609069585800171,-1.0488904678140898e-07,0.5620636343955994,0.3478352427482605,-0.001634328975342214,0.5555016398429871,0.3313470780849457,-0.002476146910339594,0.5582275390625,0.31739094853401184,-0.004309840500354767,0.5662901401519775,0.31495562195777893,-0.005153490696102381,0.5597518682479858,0.3205074369907379,0.0039899456314742565,0.559123158454895,0.3080936372280121,-0.0016919526970013976,0.559162437915802,0.31931769847869873,-0.0044015455059707165,0.5607855916023254,0.3256869912147522,-0.0051065776497125626,0.566784679889679,0.32126253843307495,0.0026126315351575613,0.5665844082832336,0.31082025170326233,-0.0035449389833956957,0.5662083625793457,0.32405951619148254,-0.004404379054903984,0.5677061676979065,0.3293830156326294,-0.00287594529800117,0.5740746259689331,0.323189914226532,-4.848599019169342e-06,0.5736404061317444,0.31558820605278015,-0.0058280290104448795,0.5722755193710327,0.32805532217025757,-0.004028170369565487,0.5732582807540894,0.3334997892379761,-0.000655657087918371,0.5815672278404236,0.32649365067481995,-0.002957067219540477,0.5800328254699707,0.31945857405662537,-0.0050313170067965984,0.5782814025878906,0.3279178738594055,-0.002722117817029357,0.5789433121681213,0.3326451778411865,7.767241186229512e-05,help_2
